ARFCN    MHz         
   512  1805.2 
   513  1805.4 
   514  1805.6 
   515  1805.8  
   516  1806.0   
   517  1806.2 
   518  1806.4   
   519  1806.6  
   520  1806.8  
   521  1807.0   
   522  1807.2 
   523  1807.4 
   524  1807.6  
   525  1807.8 
   526  1808.0  
   527  1808.2 
   528  1808.4 
   529  1808.6 
   530  1808.8 
   531  1809.0 
   532  1809.2
   533  1809.4
   534  1809.6 
   535  1809.8 
   536  1810.0 
   537  1810.2 
   538  1810.4 
   539  1810.6 
   540  1810.8
   541  1811.0
   542  1811.2
   543  1811.4
   544  1811.6
   757  1854.2   -96.8  ---  ---  -----  -----
   758  1854.4   -93.9  ---  ---  -----  -----
   759  1854.6   -96.3  ---  ---  -----  -----
   760  1854.8   -93.6  ---  ---  -----  -----
   761  1855.0   -96.6  ---  ---  -----  -----
   762  1855.2  -100.4  ---  ---  -----  -----
   763  1855.4   -95.6  ---  ---  -----  -----
   764  1855.6   -97.2  ---  ---  -----  -----
   765  1855.8   -94.8  ---  ---  -----  -----
   766  1856.0   -94.9  ---  ---  -----  -----
   767  1856.2   -96.0  ---  ---  -----  -----
   768  1856.4   -94.0  ---  ---  -----  -----
   769  1856.6   -96.5  ---  ---  -----  -----
   770  1856.8   -93.2  ---  ---  -----  -----
   771  1857.0   -96.5  ---  ---  -----  -----
   772  1857.2   -94.6  ---  ---  -----  -----
   773  1857.4   -95.5  ---  ---  -----  -----
   774  1857.6   -94.1  ---  ---  -----  -----
   775  1857.8   -96.0  ---  ---  -----  -----
   776  1858.0   -93.1  ---  ---  -----  -----
   777  1858.2   -94.9  ---  ---  -----  -----
   778  1858.4   -94.0  ---  ---  -----  -----
   779  1858.6   -95.1  ---  ---  -----  -----
   780  1858.8   -94.0  ---  ---  -----  -----
   781  1859.0   -95.2  ---  ---  -----  -----
   782  1859.2   -95.3  ---  ---  -----  -----
   783  1859.4   -94.3  ---  ---  -----  -----
   784  1859.6   -94.2  ---  ---  -----  -----
   785  1859.8   -95.6  ---  ---  -----  -----
   786  1860.0   -92.6  ---  ---  -----  -----
   787  1860.2   -95.8  ---  ---  -----  -----
   788  1860.4   -94.1  ---  ---  -----  -----
   789  1860.6   -96.5  ---  ---  -----  -----
   790  1860.8   -95.2  ---  ---  -----  -----
   791  1861.0   -96.3  ---  ---  -----  -----
   792  1861.2   -96.5  ---  ---  -----  -----
   793  1861.4   -94.4  ---  ---  -----  -----
   794  1861.6   -95.8  ---  ---  -----  -----
   795  1861.8   -93.7  ---  ---  -----  -----
   796  1862.0   -95.4  ---  ---  -----  -----
   797  1862.2   -93.3  ---  ---  -----  -----
   798  1862.4   -94.0  ---  ---  -----  -----
   799  1862.6   -94.5  ---  ---  -----  -----
   800  1862.8   -93.4  ---  ---  -----  -----
   801  1863.0   -96.3  ---  ---  -----  -----
   802  1863.2   -95.8  ---  ---  -----  -----
   803  1863.4   -93.6  ---  ---  -----  -----
   804  1863.6   -95.0  ---  ---  -----  -----
   805  1863.8   -93.6  ---  ---  -----  -----
   806  1864.0   -95.4  ---  ---  -----  -----
   807  1864.2   -93.2  ---  ---  -----  -----
   808  1864.4   -95.9  ---  ---  -----  -----
   809  1864.6   -95.9  ---  ---  -----  -----
   810  1864.8   -95.8  ---  ---  -----  -----
   811  1865.0   -96.7  ---  ---  -----  -----
   812  1865.2   -95.5  ---  ---  -----  -----
   813  1865.4   -91.3  ---  ---  -----  -----
   814  1865.6   -95.1  ---  ---  -----  -----
   815  1865.8   -94.6  ---  ---  -----  -----
   816  1866.0   -94.3  ---  ---  -----  -----
   817  1866.2   -95.1  ---  ---  -----  -----
   818  1866.4   -96.4  ---  ---  -----  -----
   819  1866.6   -97.1  ---  ---  -----  -----
   820  1866.8   -98.0  ---  ---  -----  -----
   821  1867.0   -98.2  ---  ---  -----  -----
   822  1867.2   -99.4  ---  ---  -----  -----
   823  1867.4   -97.8  ---  ---  -----  -----
   824  1867.6   -98.4  ---  ---  -----  -----
   825  1867.8   -98.8  ---  ---  -----  -----
   826  1868.0   -98.9  ---  ---  -----  -----
   827  1868.2   -97.3  ---  ---  -----  -----
   828  1868.4   -99.4  ---  ---  -----  -----
   829  1868.6   -98.6  ---  ---  -----  -----
   830  1868.8  -100.6  ---  ---  -----  -----
   831  1869.0  -104.2  ---  ---  -----  -----
   832  1869.2  -100.0  ---  ---  -----  -----
   833  1869.4  -102.4  ---  ---  -----  -----
